ride_id,rideable_type,started_at,ended_at,start_station_id,end_station_id,member_casual,ride_length,day_of_week,month
940425EC360C1EED,electric_bike,2022-01-08T13:29:14Z,2022-01-08T13:51:23Z,SL-012,TA1306000003,member,00:22:09,sábado,enero
B7EA0A01D6460AF3,classic_bike,2021-09-24T15:18:57Z,2021-09-24T15:43:48Z,TA1307000038,TA1305000037,member,00:24:51,viernes,septiembre
8F6F196C36B453EA,classic_bike,2022-03-08T08:04:44Z,2022-03-08T08:12:47Z,TA1305000006,623,member,00:08:03,martes,marzo
C2FA2420FF40E9AE,classic_bike,2022-06-20T08:43:54Z,2022-06-20T08:48:45Z,13341,KA1503000012,member,00:04:51,lunes,junio
F1B3D0D7DD6BAE80,classic_bike,2021-07-24T14:23:35Z,2021-07-24T14:55:24Z,TA1305000009,TA1306000008,casual,00:31:49,sábado,julio
7E3AF95BB8DBC21D,electric_bike,2022-05-17T18:19:08Z,2022-05-17T18:23:42Z,NA,NA,casual,00:04:34,martes,mayo
651DEB6DCA2DE450,classic_bike,2021-09-08T22:47:21Z,2021-09-08T23:12:24Z,TA1307000131,TA1307000120,casual,00:25:03,miércoles,septiembre
772F75EFD0A29A4F,electric_bike,2021-09-18T19:45:41Z,2021-09-18T19:53:42Z,13191,NA,casual,00:08:01,sábado,septiembre
B96EDAA835F3F565,classic_bike,2021-07-03T19:33:32Z,2021-07-03T19:42:59Z,TA1307000005,13217,member,00:09:27,sábado,julio
E1E14726C2AECE23,classic_bike,2022-06-09T07:27:47Z,2022-06-09T07:37:12Z,TA1305000032,13206,casual,00:09:25,jueves,junio
2F45551F859F8191,classic_bike,2021-08-23T23:51:48Z,2021-08-23T23:57:03Z,TA1307000151,TA1306000003,member,00:05:15,lunes,agosto
6C5101C191343A41,classic_bike,2021-09-01T19:11:43Z,2021-09-01T19:50:30Z,TA1307000064,TA1305000032,casual,00:38:47,miércoles,septiembre
6772DB7A2E1CB552,docked_bike,2021-10-03T11:22:43Z,2021-10-03T11:27:30Z,623,TA1307000124,casual,00:04:47,domingo,octubre
AAF41C987467BB04,electric_bike,2022-01-12T08:38:25Z,2022-01-12T10:04:14Z,NA,NA,casual,01:25:49,miércoles,enero
343F42828AD6FBF8,classic_bike,2021-11-17T20:14:24Z,2021-11-17T20:57:24Z,13213,13193,member,00:43:00,miércoles,noviembre
F9094043A9C513EB,classic_bike,2022-06-24T17:45:47Z,2022-06-24T18:00:43Z,SL-008,13431,member,00:14:56,viernes,junio
0BB7EA73BC654685,electric_bike,2021-10-14T17:30:23Z,2021-10-14T17:42:18Z,TA1306000010,13341,member,00:11:55,jueves,octubre
5DF86EDF093B0165,classic_bike,2021-08-04T15:14:30Z,2021-08-04T15:32:38Z,TA1309000039,13042,member,00:18:08,miércoles,agosto
5F5B484820F8C6BB,electric_bike,2022-05-23T21:18:52Z,2022-05-23T21:24:39Z,TA1306000026,TA1309000032,member,00:05:47,lunes,mayo
65CAE56738A27D94,classic_bike,2021-09-10T22:40:29Z,2021-09-10T22:40:53Z,TA1305000029,TA1305000029,casual,00:00:24,viernes,septiembre
9ABF6BDF1ECD2BB6,classic_bike,2021-08-08T12:45:59Z,2021-08-08T13:15:18Z,13146,TA1308000050,member,00:29:19,domingo,agosto
887194C23C53031A,electric_bike,2022-04-20T12:02:41Z,2022-04-20T12:06:34Z,NA,NA,member,00:03:53,miércoles,abril
5B95844A01775852,classic_bike,2022-05-18T11:59:22Z,2022-05-18T12:07:21Z,KA1503000041,KA1503000012,member,00:07:59,miércoles,mayo
