Día de la Semana,Tipo de usuario,Promedio
domingo,Casual,00:27:52.303359
domingo,Miembro Cyclisitc,00:14:20.194693
lunes,Casual,00:24:44.429756
lunes,Miembro Cyclisitc,00:12:07.516712
martes,Casual,00:21:27.007505
martes,Miembro Cyclisitc,00:11:42.106473
miércoles,Casual,00:20:46.518113
miércoles,Miembro Cyclisitc,00:11:51.433323
jueves,Casual,00:21:31.248545
jueves,Miembro Cyclisitc,00:12:02.462920
viernes,Casual,00:23:01.163314
viernes,Miembro Cyclisitc,00:12:17.810056
sábado,Casual,00:27:06.179102
sábado,Miembro Cyclisitc,00:14:13.915258
